dataset,model,status,native_or_fallback,spectrum_id,query_id,true_candidate_id,adduct,candidate_limit,candidate_pool_policy,candidate_count,original_true_candidate_position,true_rank,top1_correct,top5_correct,top10_correct,reciprocal_rank,elapsed_seconds,returncode,output_file,stdout_file,stderr_file
CASMI2022,CFM-ID,completed,native_cfmid_subset_candidate_limited,0,0,CASMI_MOL_1196787,[M+H]+,10,first_n_plus_true,11,1241,1.0,True,True,True,1.0,166.92408871650696,0,results/casmi2022_cfmid_native_subset_v1/work/query_0/cfmid_ranked_0.txt,results/casmi2022_cfmid_native_subset_v1/work/query_0/cfmid_0.stdout.log,results/casmi2022_cfmid_native_subset_v1/work/query_0/cfmid_0.stderr.log
CASMI2022,CFM-ID,completed,native_cfmid_subset_candidate_limited,3,3,CASMI_MOL_1196790,[M+H]+,10,first_n_plus_true,11,8524,1.0,True,True,True,1.0,38.312246799468994,0,results/casmi2022_cfmid_native_subset_v1/work/query_3/cfmid_ranked_3.txt,results/casmi2022_cfmid_native_subset_v1/work/query_3/cfmid_3.stdout.log,results/casmi2022_cfmid_native_subset_v1/work/query_3/cfmid_3.stderr.log
CASMI2022,CFM-ID,completed,native_cfmid_subset_candidate_limited,4,4,CASMI_MOL_1196791,[M+H]+,10,first_n_plus_true,11,7594,1.0,True,True,True,1.0,86.26203155517578,0,results/casmi2022_cfmid_native_subset_v1/work/query_4/cfmid_ranked_4.txt,results/casmi2022_cfmid_native_subset_v1/work/query_4/cfmid_4.stdout.log,results/casmi2022_cfmid_native_subset_v1/work/query_4/cfmid_4.stderr.log
CASMI2022,CFM-ID,completed,native_cfmid_subset_candidate_limited,5,5,CASMI_MOL_1196792,[M+H]+,10,first_n_plus_true,11,1074,1.0,True,True,True,1.0,239.16665077209473,0,results/casmi2022_cfmid_native_subset_v1/work/query_5/cfmid_ranked_5.txt,results/casmi2022_cfmid_native_subset_v1/work/query_5/cfmid_5.stdout.log,results/casmi2022_cfmid_native_subset_v1/work/query_5/cfmid_5.stderr.log
CASMI2022,CFM-ID,completed,native_cfmid_subset_candidate_limited,6,6,CASMI_MOL_1196793,[M+H]+,10,first_n_plus_true,11,1524,5.0,False,True,True,0.2,144.63379168510437,0,results/casmi2022_cfmid_native_subset_v1/work/query_6/cfmid_ranked_6.txt,results/casmi2022_cfmid_native_subset_v1/work/query_6/cfmid_6.stdout.log,results/casmi2022_cfmid_native_subset_v1/work/query_6/cfmid_6.stderr.log
CASMI2022,CFM-ID,completed,native_cfmid_subset_candidate_limited,7,7,CASMI_MOL_1196794,[M+H]+,10,first_n_plus_true,11,7016,1.0,True,True,True,1.0,25.92723560333252,0,results/casmi2022_cfmid_native_subset_v1/work/query_7/cfmid_ranked_7.txt,results/casmi2022_cfmid_native_subset_v1/work/query_7/cfmid_7.stdout.log,results/casmi2022_cfmid_native_subset_v1/work/query_7/cfmid_7.stderr.log
CASMI2022,CFM-ID,completed,native_cfmid_subset_candidate_limited,9,9,CASMI_MOL_1196796,[M+H]+,10,first_n_plus_true,11,8632,3.0,False,True,True,0.3333333333333333,38.86234211921692,0,results/casmi2022_cfmid_native_subset_v1/work/query_9/cfmid_ranked_9.txt,results/casmi2022_cfmid_native_subset_v1/work/query_9/cfmid_9.stdout.log,results/casmi2022_cfmid_native_subset_v1/work/query_9/cfmid_9.stderr.log
CASMI2022,CFM-ID,completed,native_cfmid_subset_candidate_limited,10,10,CASMI_MOL_1196797,[M+H]+,10,first_n_plus_true,11,2797,8.0,False,False,True,0.125,61.3688018321991,0,results/casmi2022_cfmid_native_subset_v1/work/query_10/cfmid_ranked_10.txt,results/casmi2022_cfmid_native_subset_v1/work/query_10/cfmid_10.stdout.log,results/casmi2022_cfmid_native_subset_v1/work/query_10/cfmid_10.stderr.log
CASMI2022,CFM-ID,completed,native_cfmid_subset_candidate_limited,11,11,CASMI_MOL_1196798,[M+H]+,10,first_n_plus_true,11,6368,1.0,True,True,True,1.0,111.39846587181091,0,results/casmi2022_cfmid_native_subset_v1/work/query_11/cfmid_ranked_11.txt,results/casmi2022_cfmid_native_subset_v1/work/query_11/cfmid_11.stdout.log,results/casmi2022_cfmid_native_subset_v1/work/query_11/cfmid_11.stderr.log
CASMI2022,CFM-ID,completed,native_cfmid_subset_candidate_limited,12,12,CASMI_MOL_1196799,[M+H]+,10,first_n_plus_true,11,9462,1.0,True,True,True,1.0,15.301095962524414,0,results/casmi2022_cfmid_native_subset_v1/work/query_12/cfmid_ranked_12.txt,results/casmi2022_cfmid_native_subset_v1/work/query_12/cfmid_12.stdout.log,results/casmi2022_cfmid_native_subset_v1/work/query_12/cfmid_12.stderr.log
