supported_index,spec_id,query_mol_id,adduct,precursor_mz,candidate_count,rank_output_file,status
0,0,1196787,[M+H]+,719.253866983956,1241,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_precomputed_full_v1/work/query_0/cfmid_precomputed_ranked_0.txt,pending_candidate_spectra
1,3,1196790,[M+H]+,336.173416402974,8524,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_precomputed_full_v1/work/query_3/cfmid_precomputed_ranked_3.txt,pending_candidate_spectra
2,4,1196791,[M+H]+,472.208379934413,7594,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_precomputed_full_v1/work/query_4/cfmid_precomputed_ranked_4.txt,pending_candidate_spectra
3,5,1196792,[M+H]+,657.311672306106,1074,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_precomputed_full_v1/work/query_5/cfmid_precomputed_ranked_5.txt,pending_candidate_spectra
4,6,1196793,[M+H]+,519.33115928565,1524,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_precomputed_full_v1/work/query_6/cfmid_precomputed_ranked_6.txt,pending_candidate_spectra
5,7,1196794,[M+H]+,233.116974574285,7016,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_precomputed_full_v1/work/query_7/cfmid_precomputed_ranked_7.txt,pending_candidate_spectra
6,9,1196796,[M+H]+,347.12743382156,8632,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_precomputed_full_v1/work/query_9/cfmid_precomputed_ranked_9.txt,pending_candidate_spectra
7,10,1196797,[M+H]+,454.07482453927,2797,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_precomputed_full_v1/work/query_10/cfmid_precomputed_ranked_10.txt,pending_candidate_spectra
8,11,1196798,[M+H]+,489.226761835099,6368,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_precomputed_full_v1/work/query_11/cfmid_precomputed_ranked_11.txt,pending_candidate_spectra
9,12,1196799,[M+H]+,192.138122780028,9462,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_precomputed_full_v1/work/query_12/cfmid_precomputed_ranked_12.txt,pending_candidate_spectra
10,15,1196802,[M+H]+,505.221679905913,4775,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_precomputed_full_v1/work/query_15/cfmid_precomputed_ranked_15.txt,pending_candidate_spectra
11,16,1196803,[M+H]+,522.596526377514,103,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_precomputed_full_v1/work/query_16/cfmid_precomputed_ranked_16.txt,pending_candidate_spectra
12,17,1196804,[M+H]+,251.163916083717,9564,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_precomputed_full_v1/work/query_17/cfmid_precomputed_ranked_17.txt,pending_candidate_spectra
13,18,1196806,[M+H]+,199.096388145119,6548,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_precomputed_full_v1/work/query_18/cfmid_precomputed_ranked_18.txt,pending_candidate_spectra
14,21,1196809,[M+H]+,419.096457918953,5615,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_precomputed_full_v1/work/query_21/cfmid_precomputed_ranked_21.txt,pending_candidate_spectra
15,22,1196810,[M+H]+,235.09602715843,6294,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_precomputed_full_v1/work/query_22/cfmid_precomputed_ranked_22.txt,pending_candidate_spectra
16,23,1196811,[M+H]+,305.24715503306,5745,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_precomputed_full_v1/work/query_23/cfmid_precomputed_ranked_23.txt,pending_candidate_spectra
17,24,1196813,[M+H]+,251.081286729391,5015,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_precomputed_full_v1/work/query_24/cfmid_precomputed_ranked_24.txt,pending_candidate_spectra
18,25,1196814,[M+H]+,256.190347458289,9778,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_precomputed_full_v1/work/query_25/cfmid_precomputed_ranked_25.txt,pending_candidate_spectra
19,26,1196815,[M+H]+,287.113248407357,8521,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_precomputed_full_v1/work/query_26/cfmid_precomputed_ranked_26.txt,pending_candidate_spectra
20,27,1196816,[M+H]+,564.248474121094,3327,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_precomputed_full_v1/work/query_27/cfmid_precomputed_ranked_27.txt,pending_candidate_spectra
21,29,1196818,[M+H]+,442.152698645402,8062,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_precomputed_full_v1/work/query_29/cfmid_precomputed_ranked_29.txt,pending_candidate_spectra
22,31,1196820,[M+H]+,268.169176279556,9668,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_precomputed_full_v1/work/query_31/cfmid_precomputed_ranked_31.txt,pending_candidate_spectra
23,34,1196823,[M+H]+,88.075645446777,457,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_precomputed_full_v1/work/query_34/cfmid_precomputed_ranked_34.txt,pending_candidate_spectra
24,35,1196824,[M+H]+,812.47884213126,233,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_precomputed_full_v1/work/query_35/cfmid_precomputed_ranked_35.txt,pending_candidate_spectra
25,37,1196826,[M+H]+,335.220961257905,8957,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_precomputed_full_v1/work/query_37/cfmid_precomputed_ranked_37.txt,pending_candidate_spectra
26,38,1196827,[M+H]+,267.158658505007,9532,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_precomputed_full_v1/work/query_38/cfmid_precomputed_ranked_38.txt,pending_candidate_spectra
27,39,1196829,[M+H]+,110.059909596967,859,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_precomputed_full_v1/work/query_39/cfmid_precomputed_ranked_39.txt,pending_candidate_spectra
28,40,1196830,[M+H]+,457.20099752921,7695,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_precomputed_full_v1/work/query_40/cfmid_precomputed_ranked_40.txt,pending_candidate_spectra
29,41,1196831,[M+H]+,484.216078579256,5158,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_precomputed_full_v1/work/query_41/cfmid_precomputed_ranked_41.txt,pending_candidate_spectra
30,42,1196832,[M+H]+,395.232386610341,9484,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_precomputed_full_v1/work/query_42/cfmid_precomputed_ranked_42.txt,pending_candidate_spectra
31,43,1196833,[M+H]+,333.205381675245,8937,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_precomputed_full_v1/work/query_43/cfmid_precomputed_ranked_43.txt,pending_candidate_spectra
