dataset,model,status,native_or_fallback,query_id,candidate_count,true_rank,top1_correct,top5_correct,top10_correct,reciprocal_rank,top1_candidate_id,top1_score
CASMI2022,SIRIUS formula-only,completed,native_sirius_formula_only_full_supported_candidate_set,0,1241,222.0,False,False,False,0.0045045045045045045,CASMI_MOL_0,0.0
CASMI2022,SIRIUS formula-only,completed,native_sirius_formula_only_full_supported_candidate_set,3,8524,824.0,False,False,False,0.0012135922330097086,CASMI_MOL_10001,1.0
CASMI2022,SIRIUS formula-only,completed,native_sirius_formula_only_full_supported_candidate_set,4,7594,74.0,False,False,False,0.013513513513513514,CASMI_MOL_18426,1.0
CASMI2022,SIRIUS formula-only,completed,native_sirius_formula_only_full_supported_candidate_set,5,1074,1.0,True,True,True,1.0,CASMI_MOL_1196792,0.0
CASMI2022,SIRIUS formula-only,completed,native_sirius_formula_only_full_supported_candidate_set,6,1524,1.0,True,True,True,1.0,CASMI_MOL_1196793,1.0
CASMI2022,SIRIUS formula-only,completed,native_sirius_formula_only_full_supported_candidate_set,7,7016,1.0,True,True,True,1.0,CASMI_MOL_1196794,1.0
CASMI2022,SIRIUS formula-only,completed,native_sirius_formula_only_full_supported_candidate_set,9,8632,1.0,True,True,True,1.0,CASMI_MOL_1196796,1.0
CASMI2022,SIRIUS formula-only,completed,native_sirius_formula_only_full_supported_candidate_set,10,2797,8.0,False,False,True,0.125,CASMI_MOL_46175,1.0
CASMI2022,SIRIUS formula-only,completed,native_sirius_formula_only_full_supported_candidate_set,11,6368,1651.0,False,False,False,0.0006056935190793458,CASMI_MOL_48838,1.0
CASMI2022,SIRIUS formula-only,completed,native_sirius_formula_only_full_supported_candidate_set,12,9462,1.0,True,True,True,1.0,CASMI_MOL_1196799,1.0
CASMI2022,SIRIUS formula-only,completed,native_sirius_formula_only_full_supported_candidate_set,15,4775,885.0,False,False,False,0.0011299435028248588,CASMI_MOL_69672,1.0
CASMI2022,SIRIUS formula-only,completed,native_sirius_formula_only_full_supported_candidate_set,16,103,1.0,True,True,True,1.0,CASMI_MOL_1196803,1.0
CASMI2022,SIRIUS formula-only,completed,native_sirius_formula_only_full_supported_candidate_set,17,9564,1.0,True,True,True,1.0,CASMI_MOL_1196804,1.0
CASMI2022,SIRIUS formula-only,completed,native_sirius_formula_only_full_supported_candidate_set,18,6548,1.0,True,True,True,1.0,CASMI_MOL_1196806,1.0
CASMI2022,SIRIUS formula-only,completed,native_sirius_formula_only_full_supported_candidate_set,21,5615,153.0,False,False,False,0.006535947712418301,CASMI_MOL_100151,1.0
CASMI2022,SIRIUS formula-only,completed,native_sirius_formula_only_full_supported_candidate_set,22,6294,5055.0,False,False,False,0.00019782393669634025,CASMI_MOL_106186,1.0
CASMI2022,SIRIUS formula-only,completed,native_sirius_formula_only_full_supported_candidate_set,23,5745,5236.0,False,False,False,0.00019098548510313216,CASMI_MOL_112477,1.0
CASMI2022,SIRIUS formula-only,completed,native_sirius_formula_only_full_supported_candidate_set,24,5015,318.0,False,False,False,0.0031446540880503146,CASMI_MOL_118221,1.0
CASMI2022,SIRIUS formula-only,completed,native_sirius_formula_only_full_supported_candidate_set,25,9778,1.0,True,True,True,1.0,CASMI_MOL_1196814,1.0
CASMI2022,SIRIUS formula-only,completed,native_sirius_formula_only_full_supported_candidate_set,26,8521,1.0,True,True,True,1.0,CASMI_MOL_1196815,1.0
CASMI2022,SIRIUS formula-only,completed,native_sirius_formula_only_full_supported_candidate_set,27,3327,1.0,True,True,True,1.0,CASMI_MOL_1196816,1.0
CASMI2022,SIRIUS formula-only,completed,native_sirius_formula_only_full_supported_candidate_set,29,8062,1.0,True,True,True,1.0,CASMI_MOL_1196818,0.8909219555472258
CASMI2022,SIRIUS formula-only,completed,native_sirius_formula_only_full_supported_candidate_set,31,9668,1.0,True,True,True,1.0,CASMI_MOL_1196820,1.0
CASMI2022,SIRIUS formula-only,completed,native_sirius_formula_only_full_supported_candidate_set,34,457,1.0,True,True,True,1.0,CASMI_MOL_1196823,1.0
CASMI2022,SIRIUS formula-only,completed,native_sirius_formula_only_full_supported_candidate_set,35,233,1.0,True,True,True,1.0,CASMI_MOL_1196824,0.0
CASMI2022,SIRIUS formula-only,completed,native_sirius_formula_only_full_supported_candidate_set,37,8957,1.0,True,True,True,1.0,CASMI_MOL_1196826,1.0
CASMI2022,SIRIUS formula-only,completed,native_sirius_formula_only_full_supported_candidate_set,38,9532,1.0,True,True,True,1.0,CASMI_MOL_1196827,1.0
CASMI2022,SIRIUS formula-only,completed,native_sirius_formula_only_full_supported_candidate_set,39,859,1.0,True,True,True,1.0,CASMI_MOL_1196829,1.0
CASMI2022,SIRIUS formula-only,completed,native_sirius_formula_only_full_supported_candidate_set,40,7695,1878.0,False,False,False,0.0005324813631522897,CASMI_MOL_219245,1.0
CASMI2022,SIRIUS formula-only,completed,native_sirius_formula_only_full_supported_candidate_set,41,5158,996.0,False,False,False,0.001004016064257028,CASMI_MOL_228815,1.0
CASMI2022,SIRIUS formula-only,completed,native_sirius_formula_only_full_supported_candidate_set,42,9484,1.0,True,True,True,1.0,CASMI_MOL_1196832,1.0
CASMI2022,SIRIUS formula-only,completed,native_sirius_formula_only_full_supported_candidate_set,43,8937,1.0,True,True,True,1.0,CASMI_MOL_1196833,1.0
CASMI2022,SIRIUS formula-only,completed,native_sirius_formula_only_full_supported_candidate_set,46,960,1.0,True,True,True,1.0,CASMI_MOL_1196837,1.0
CASMI2022,SIRIUS formula-only,completed,native_sirius_formula_only_full_supported_candidate_set,48,9066,1.0,True,True,True,1.0,CASMI_MOL_1196839,1.0
CASMI2022,SIRIUS formula-only,completed,native_sirius_formula_only_full_supported_candidate_set,50,1506,981.0,False,False,False,0.0010193679918450561,CASMI_MOL_266798,1.0
CASMI2022,SIRIUS formula-only,completed,native_sirius_formula_only_full_supported_candidate_set,51,558,1.0,True,True,True,1.0,CASMI_MOL_1196842,0.0
CASMI2022,SIRIUS formula-only,completed,native_sirius_formula_only_full_supported_candidate_set,53,1206,1.0,True,True,True,1.0,CASMI_MOL_1196844,1.0
CASMI2022,SIRIUS formula-only,completed,native_sirius_formula_only_full_supported_candidate_set,54,6814,1.0,True,True,True,1.0,CASMI_MOL_1196845,1.0
CASMI2022,SIRIUS formula-only,completed,native_sirius_formula_only_full_supported_candidate_set,55,9288,1.0,True,True,True,1.0,CASMI_MOL_1196846,1.0
CASMI2022,SIRIUS formula-only,completed,native_sirius_formula_only_full_supported_candidate_set,56,9532,1.0,True,True,True,1.0,CASMI_MOL_1196828,1.0
CASMI2022,SIRIUS formula-only,completed,native_sirius_formula_only_full_supported_candidate_set,58,2999,1.0,True,True,True,1.0,CASMI_MOL_1196849,1.0
CASMI2022,SIRIUS formula-only,completed,native_sirius_formula_only_full_supported_candidate_set,59,9219,1.0,True,True,True,1.0,CASMI_MOL_1196850,1.0
CASMI2022,SIRIUS formula-only,completed,native_sirius_formula_only_full_supported_candidate_set,60,7090,1.0,True,True,True,1.0,CASMI_MOL_1196851,1.0
