variant,query_id,true_rank,top1_correct,top5_correct,top10_correct,reciprocal_rank,candidate_count
full_current_primary_no_sirius,LS05bfa8260f03,2,False,True,True,0.5,191
full_current_primary_no_sirius,LS08e056b319e1,1,True,True,True,1.0,191
full_current_primary_no_sirius,LS0b9af8c5fc95,1,True,True,True,1.0,191
full_current_primary_no_sirius,LS0bca22e1fa72,1,True,True,True,1.0,191
full_current_primary_no_sirius,LS12154a7f6df8,2,False,True,True,0.5,191
full_current_primary_no_sirius,LS12a249abbb32,2,False,True,True,0.5,191
full_current_primary_no_sirius,LS19ee77e400f8,2,False,True,True,0.5,191
full_current_primary_no_sirius,LS1bace597fc7d,4,False,True,True,0.25,191
full_current_primary_no_sirius,LS1c8eb617821b,1,True,True,True,1.0,191
full_current_primary_no_sirius,LS1dfe7690591a,1,True,True,True,1.0,191
full_current_primary_no_sirius,LS2869105bd098,2,False,True,True,0.5,191
full_current_primary_no_sirius,LS2bf702df9866,3,False,True,True,0.3333333333333333,191
full_current_primary_no_sirius,LS368901bbcbc1,1,True,True,True,1.0,191
full_current_primary_no_sirius,LS3a7539258142,87,False,False,False,0.011494252873563218,191
full_current_primary_no_sirius,LS3e75a585eabd,1,True,True,True,1.0,191
full_current_primary_no_sirius,LS401bd3bf2187,2,False,True,True,0.5,191
full_current_primary_no_sirius,LS4120a295a20f,1,True,True,True,1.0,191
full_current_primary_no_sirius,LS52b8e4f0a2cd,181,False,False,False,0.0055248618784530384,191
full_current_primary_no_sirius,LS5840ed51c369,1,True,True,True,1.0,191
full_current_primary_no_sirius,LS5f2541c7fde6,6,False,False,True,0.16666666666666666,191
full_current_primary_no_sirius,LS6403d511f997,3,False,True,True,0.3333333333333333,191
full_current_primary_no_sirius,LS65221fc6d286,8,False,False,True,0.125,191
full_current_primary_no_sirius,LS6814783e35c9,13,False,False,False,0.07692307692307693,191
full_current_primary_no_sirius,LS68765a3292a4,1,True,True,True,1.0,191
full_current_primary_no_sirius,LS6c5ae75b8591,2,False,True,True,0.5,191
full_current_primary_no_sirius,LS6ec003f697ab,4,False,True,True,0.25,191
full_current_primary_no_sirius,LS6f01794f6125,6,False,False,True,0.16666666666666666,191
full_current_primary_no_sirius,LS7146b8892dfc,13,False,False,False,0.07692307692307693,191
full_current_primary_no_sirius,LS733967654531,2,False,True,True,0.5,191
full_current_primary_no_sirius,LS78fdfd0df801,1,True,True,True,1.0,191
full_current_primary_no_sirius,LS79daaa8d941e,2,False,True,True,0.5,191
full_current_primary_no_sirius,LS7ba5c20509b8,1,True,True,True,1.0,191
full_current_primary_no_sirius,LS7bb84af44f8b,43,False,False,False,0.023255813953488372,191
full_current_primary_no_sirius,LS848784f828bb,2,False,True,True,0.5,191
full_current_primary_no_sirius,LS863317188ff3,117,False,False,False,0.008547008547008548,191
full_current_primary_no_sirius,LS8b02f25fd437,4,False,True,True,0.25,191
full_current_primary_no_sirius,LS8eba43d9f8b7,4,False,True,True,0.25,191
full_current_primary_no_sirius,LS91977123a9bb,8,False,False,True,0.125,191
full_current_primary_no_sirius,LS931c803815ae,4,False,True,True,0.25,191
full_current_primary_no_sirius,LS94dbfdebdafb,1,True,True,True,1.0,191
full_current_primary_no_sirius,LS96dc644a383d,1,True,True,True,1.0,191
full_current_primary_no_sirius,LS98bc71748408,2,False,True,True,0.5,191
full_current_primary_no_sirius,LS9b14344f5baa,9,False,False,True,0.1111111111111111,191
full_current_primary_no_sirius,LS9dde3564a49b,4,False,True,True,0.25,191
full_current_primary_no_sirius,LSa67d1dbcf42d,14,False,False,False,0.07142857142857142,191
full_current_primary_no_sirius,LSaf81d7e78a2e,16,False,False,False,0.0625,191
full_current_primary_no_sirius,LSafa6fc2e5c8a,47,False,False,False,0.02127659574468085,191
full_current_primary_no_sirius,LSb72b9e493fcd,1,True,True,True,1.0,191
full_current_primary_no_sirius,LSbe93926947e2,1,True,True,True,1.0,191
full_current_primary_no_sirius,LSc125f514f0e6,2,False,True,True,0.5,191
full_current_primary_no_sirius,LSc2098979cec6,1,True,True,True,1.0,191
full_current_primary_no_sirius,LScc663d687009,13,False,False,False,0.07692307692307693,191
full_current_primary_no_sirius,LSce977390f5ae,1,True,True,True,1.0,191
full_current_primary_no_sirius,LSd3ca1a2d439e,1,True,True,True,1.0,191
full_current_primary_no_sirius,LSd476ce50eb3e,1,True,True,True,1.0,191
full_current_primary_no_sirius,LSdd20446a518a,5,False,True,True,0.2,191
