shard_id,query_start,query_limit,candidate_rows,command,status
0,0,5,19957,python3 scripts/run_cfmid_precomputed_query_shard.py --outdir /home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_precomputed_full_v1 --query-start 0 --query-limit 5 --resume,pending_candidate_spectra
1,5,5,34275,python3 scripts/run_cfmid_precomputed_query_shard.py --outdir /home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_precomputed_full_v1 --query-start 5 --query-limit 5 --resume,pending_candidate_spectra
2,10,5,26605,python3 scripts/run_cfmid_precomputed_query_shard.py --outdir /home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_precomputed_full_v1 --query-start 10 --query-limit 5 --resume,pending_candidate_spectra
3,15,5,35353,python3 scripts/run_cfmid_precomputed_query_shard.py --outdir /home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_precomputed_full_v1 --query-start 15 --query-limit 5 --resume,pending_candidate_spectra
4,20,5,21747,python3 scripts/run_cfmid_precomputed_query_shard.py --outdir /home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_precomputed_full_v1 --query-start 20 --query-limit 5 --resume,pending_candidate_spectra
5,25,5,32201,python3 scripts/run_cfmid_precomputed_query_shard.py --outdir /home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_precomputed_full_v1 --query-start 25 --query-limit 5 --resume,pending_candidate_spectra
6,30,5,29953,python3 scripts/run_cfmid_precomputed_query_shard.py --outdir /home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_precomputed_full_v1 --query-start 30 --query-limit 5 --resume,pending_candidate_spectra
7,35,5,27398,python3 scripts/run_cfmid_precomputed_query_shard.py --outdir /home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_precomputed_full_v1 --query-start 35 --query-limit 5 --resume,pending_candidate_spectra
8,40,5,28152,python3 scripts/run_cfmid_precomputed_query_shard.py --outdir /home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_precomputed_full_v1 --query-start 40 --query-limit 5 --resume,pending_candidate_spectra
9,45,5,39068,python3 scripts/run_cfmid_precomputed_query_shard.py --outdir /home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_precomputed_full_v1 --query-start 45 --query-limit 5 --resume,pending_candidate_spectra
10,50,5,27000,python3 scripts/run_cfmid_precomputed_query_shard.py --outdir /home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_precomputed_full_v1 --query-start 50 --query-limit 5 --resume,pending_candidate_spectra
11,55,5,38072,python3 scripts/run_cfmid_precomputed_query_shard.py --outdir /home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_precomputed_full_v1 --query-start 55 --query-limit 5 --resume,pending_candidate_spectra
12,60,5,29597,python3 scripts/run_cfmid_precomputed_query_shard.py --outdir /home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_precomputed_full_v1 --query-start 60 --query-limit 5 --resume,pending_candidate_spectra
13,65,5,25040,python3 scripts/run_cfmid_precomputed_query_shard.py --outdir /home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_precomputed_full_v1 --query-start 65 --query-limit 5 --resume,pending_candidate_spectra
14,70,5,37024,python3 scripts/run_cfmid_precomputed_query_shard.py --outdir /home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_precomputed_full_v1 --query-start 70 --query-limit 5 --resume,pending_candidate_spectra
15,75,5,35139,python3 scripts/run_cfmid_precomputed_query_shard.py --outdir /home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_precomputed_full_v1 --query-start 75 --query-limit 5 --resume,pending_candidate_spectra
16,80,5,28546,python3 scripts/run_cfmid_precomputed_query_shard.py --outdir /home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_precomputed_full_v1 --query-start 80 --query-limit 5 --resume,pending_candidate_spectra
17,85,5,33639,python3 scripts/run_cfmid_precomputed_query_shard.py --outdir /home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_precomputed_full_v1 --query-start 85 --query-limit 5 --resume,pending_candidate_spectra
18,90,5,37807,python3 scripts/run_cfmid_precomputed_query_shard.py --outdir /home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_precomputed_full_v1 --query-start 90 --query-limit 5 --resume,pending_candidate_spectra
19,95,5,43645,python3 scripts/run_cfmid_precomputed_query_shard.py --outdir /home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_precomputed_full_v1 --query-start 95 --query-limit 5 --resume,pending_candidate_spectra
20,100,5,36631,python3 scripts/run_cfmid_precomputed_query_shard.py --outdir /home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_precomputed_full_v1 --query-start 100 --query-limit 5 --resume,pending_candidate_spectra
21,105,5,24402,python3 scripts/run_cfmid_precomputed_query_shard.py --outdir /home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_precomputed_full_v1 --query-start 105 --query-limit 5 --resume,pending_candidate_spectra
22,110,5,34720,python3 scripts/run_cfmid_precomputed_query_shard.py --outdir /home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_precomputed_full_v1 --query-start 110 --query-limit 5 --resume,pending_candidate_spectra
23,115,5,23368,python3 scripts/run_cfmid_precomputed_query_shard.py --outdir /home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_precomputed_full_v1 --query-start 115 --query-limit 5 --resume,pending_candidate_spectra
24,120,5,23537,python3 scripts/run_cfmid_precomputed_query_shard.py --outdir /home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_precomputed_full_v1 --query-start 120 --query-limit 5 --resume,pending_candidate_spectra
25,125,5,23212,python3 scripts/run_cfmid_precomputed_query_shard.py --outdir /home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_precomputed_full_v1 --query-start 125 --query-limit 5 --resume,pending_candidate_spectra
26,130,5,40419,python3 scripts/run_cfmid_precomputed_query_shard.py --outdir /home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_precomputed_full_v1 --query-start 130 --query-limit 5 --resume,pending_candidate_spectra
27,135,5,22227,python3 scripts/run_cfmid_precomputed_query_shard.py --outdir /home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_precomputed_full_v1 --query-start 135 --query-limit 5 --resume,pending_candidate_spectra
28,140,5,27558,python3 scripts/run_cfmid_precomputed_query_shard.py --outdir /home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_precomputed_full_v1 --query-start 140 --query-limit 5 --resume,pending_candidate_spectra
29,145,5,31990,python3 scripts/run_cfmid_precomputed_query_shard.py --outdir /home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_precomputed_full_v1 --query-start 145 --query-limit 5 --resume,pending_candidate_spectra
30,150,5,44463,python3 scripts/run_cfmid_precomputed_query_shard.py --outdir /home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_precomputed_full_v1 --query-start 150 --query-limit 5 --resume,pending_candidate_spectra
31,155,5,33151,python3 scripts/run_cfmid_precomputed_query_shard.py --outdir /home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_precomputed_full_v1 --query-start 155 --query-limit 5 --resume,pending_candidate_spectra
32,160,5,40190,python3 scripts/run_cfmid_precomputed_query_shard.py --outdir /home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_precomputed_full_v1 --query-start 160 --query-limit 5 --resume,pending_candidate_spectra
33,165,5,26864,python3 scripts/run_cfmid_precomputed_query_shard.py --outdir /home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_precomputed_full_v1 --query-start 165 --query-limit 5 --resume,pending_candidate_spectra
