supported_index,query_id,query_id_s,model_id,model,benchmark_label,result_status,status,native_or_fallback,candidate_count,true_rank,top1_correct,top5_correct,top10_correct,reciprocal_rank,top1_tanimoto,formula_accuracy,failed_prediction_count,missing_candidate_spectra,predicted_spectrum_count,ranked_rows,candidate_spectra_count,claim_guardrail
0,0,0,fragannotator,FragAnnotator,Frozen fixed evidence-fusion FragAnnotator,completed,completed,formal_fixed_component_score_mode_full_supported_candidate_set,1241,54.0,False,False,False,0.0185185185185185,,,,,,,,"Primary method for Section 3.2; fixed evidence-fusion configuration, not a trained neural checkpoint claim."
1,3,3,fragannotator,FragAnnotator,Frozen fixed evidence-fusion FragAnnotator,completed,completed,formal_fixed_component_score_mode_full_supported_candidate_set,8524,824.0,False,False,False,0.0012135922330097,,,,,,,,"Primary method for Section 3.2; fixed evidence-fusion configuration, not a trained neural checkpoint claim."
2,4,4,fragannotator,FragAnnotator,Frozen fixed evidence-fusion FragAnnotator,completed,completed,formal_fixed_component_score_mode_full_supported_candidate_set,7594,74.0,False,False,False,0.0135135135135135,,,,,,,,"Primary method for Section 3.2; fixed evidence-fusion configuration, not a trained neural checkpoint claim."
3,5,5,fragannotator,FragAnnotator,Frozen fixed evidence-fusion FragAnnotator,completed,completed,formal_fixed_component_score_mode_full_supported_candidate_set,1074,345.0,False,False,False,0.0028985507246376,,,,,,,,"Primary method for Section 3.2; fixed evidence-fusion configuration, not a trained neural checkpoint claim."
4,6,6,fragannotator,FragAnnotator,Frozen fixed evidence-fusion FragAnnotator,completed,completed,formal_fixed_component_score_mode_full_supported_candidate_set,1524,1.0,True,True,True,1.0,,,,,,,,"Primary method for Section 3.2; fixed evidence-fusion configuration, not a trained neural checkpoint claim."
5,7,7,fragannotator,FragAnnotator,Frozen fixed evidence-fusion FragAnnotator,completed,completed,formal_fixed_component_score_mode_full_supported_candidate_set,7016,1.0,True,True,True,1.0,,,,,,,,"Primary method for Section 3.2; fixed evidence-fusion configuration, not a trained neural checkpoint claim."
6,9,9,fragannotator,FragAnnotator,Frozen fixed evidence-fusion FragAnnotator,completed,completed,formal_fixed_component_score_mode_full_supported_candidate_set,8632,1.0,True,True,True,1.0,,,,,,,,"Primary method for Section 3.2; fixed evidence-fusion configuration, not a trained neural checkpoint claim."
7,10,10,fragannotator,FragAnnotator,Frozen fixed evidence-fusion FragAnnotator,completed,completed,formal_fixed_component_score_mode_full_supported_candidate_set,2797,104.0,False,False,False,0.0096153846153846,,,,,,,,"Primary method for Section 3.2; fixed evidence-fusion configuration, not a trained neural checkpoint claim."
8,11,11,fragannotator,FragAnnotator,Frozen fixed evidence-fusion FragAnnotator,completed,completed,formal_fixed_component_score_mode_full_supported_candidate_set,6368,1651.0,False,False,False,0.0006056935190793,,,,,,,,"Primary method for Section 3.2; fixed evidence-fusion configuration, not a trained neural checkpoint claim."
9,12,12,fragannotator,FragAnnotator,Frozen fixed evidence-fusion FragAnnotator,completed,completed,formal_fixed_component_score_mode_full_supported_candidate_set,9462,1.0,True,True,True,1.0,,,,,,,,"Primary method for Section 3.2; fixed evidence-fusion configuration, not a trained neural checkpoint claim."
