query_id,candidate_id,is_true_candidate,score,rank,candidate_count,top1_correct,top5_correct,top10_correct,reciprocal_rank,score_policy
0,CASMI_MOL_1196787,True,0.198708324855821,54,1241,False,False,False,0.018518518518518517,fragannotor_formal_component_score
1,CASMI_MOL_1196788,True,0.8490079247826241,1,2001,True,True,True,1.0,fragannotor_formal_component_score
2,CASMI_MOL_1196789,True,0.8479148593880571,1,2001,True,True,True,1.0,fragannotor_formal_component_score
3,CASMI_MOL_1196790,True,0.8946572529308799,672,2001,False,False,False,0.001488095238095238,fragannotor_formal_component_score
4,CASMI_MOL_1196791,True,0.7468526634941316,27,2001,False,False,False,0.037037037037037035,fragannotor_formal_component_score
5,CASMI_MOL_1196792,True,0.1942449918630063,345,1074,False,False,False,0.002898550724637681,fragannotor_formal_component_score
6,CASMI_MOL_1196793,True,0.8488608477031989,1,1524,True,True,True,1.0,fragannotor_formal_component_score
7,CASMI_MOL_1196794,True,0.906897991354542,1,2001,True,True,True,1.0,fragannotor_formal_component_score
8,CASMI_MOL_1196795,True,0.8483415864440524,1,1910,True,True,True,1.0,fragannotor_formal_component_score
9,CASMI_MOL_1196796,True,0.8485793212174022,1,2001,True,True,True,1.0,fragannotor_formal_component_score
10,CASMI_MOL_1196797,True,0.1985035960288882,77,2001,False,False,False,0.012987012987012988,fragannotor_formal_component_score
11,CASMI_MOL_1196798,True,0.3012692570382424,449,2001,False,False,False,0.0022271714922048997,fragannotor_formal_component_score
12,CASMI_MOL_1196799,True,0.8489427524678699,1,2001,True,True,True,1.0,fragannotor_formal_component_score
13,CASMI_MOL_1196800,True,0.8478469462303959,1,548,True,True,True,1.0,fragannotor_formal_component_score
14,CASMI_MOL_1196801,True,0.8470118788372851,1,2001,True,True,True,1.0,fragannotor_formal_component_score
15,CASMI_MOL_1196802,True,0.3492199084422298,320,2001,False,False,False,0.003125,fragannotor_formal_component_score
16,CASMI_MOL_1196803,True,0.8475129256433164,1,103,True,True,True,1.0,fragannotor_formal_component_score
17,CASMI_MOL_1196804,True,0.8582675638244271,1,2001,True,True,True,1.0,fragannotor_formal_component_score
18,CASMI_MOL_1196806,True,0.8648257127386864,1,2001,True,True,True,1.0,fragannotor_formal_component_score
19,CASMI_MOL_1196807,True,0.8563102607432962,1,2001,True,True,True,1.0,fragannotor_formal_component_score
20,CASMI_MOL_1196808,True,0.1967593329224979,12,405,False,False,False,0.08333333333333333,fragannotor_formal_component_score
21,CASMI_MOL_1196809,True,0.8448119429534076,47,2001,False,False,False,0.02127659574468085,fragannotor_formal_component_score
22,CASMI_MOL_1196810,True,0.8482728504744034,1588,2001,False,False,False,0.0006297229219143577,fragannotor_formal_component_score
23,CASMI_MOL_1196811,True,0.8583511224453036,1916,2001,False,False,False,0.0005219206680584551,fragannotor_formal_component_score
24,CASMI_MOL_1196813,True,0.8489623299449882,318,2001,False,False,False,0.0031446540880503146,fragannotor_formal_component_score
25,CASMI_MOL_1196814,True,0.8470824349569612,1,2001,True,True,True,1.0,fragannotor_formal_component_score
26,CASMI_MOL_1196815,True,0.8436597686555092,1,2001,True,True,True,1.0,fragannotor_formal_component_score
27,CASMI_MOL_1196816,True,0.8526569701566383,1,2001,True,True,True,1.0,fragannotor_formal_component_score
28,CASMI_MOL_1196817,True,0.8450935984592758,1,2001,True,True,True,1.0,fragannotor_formal_component_score
29,CASMI_MOL_1196818,True,0.7851984142174298,1,2001,True,True,True,1.0,fragannotor_formal_component_score
30,CASMI_MOL_1196819,True,0.8831828288380281,1,2001,True,True,True,1.0,fragannotor_formal_component_score
31,CASMI_MOL_1196820,True,0.8467093929598529,1,2001,True,True,True,1.0,fragannotor_formal_component_score
32,CASMI_MOL_1196821,True,0.8462829839359636,1,2001,True,True,True,1.0,fragannotor_formal_component_score
33,CASMI_MOL_1196822,True,0.2038507416684029,160,2001,False,False,False,0.00625,fragannotor_formal_component_score
34,CASMI_MOL_1196823,True,0.8831271738473366,1,457,True,True,True,1.0,fragannotor_formal_component_score
35,CASMI_MOL_1196824,True,0.196023563737784,28,233,False,False,False,0.03571428571428571,fragannotor_formal_component_score
36,CASMI_MOL_1196825,True,0.2769219133107974,96,2001,False,False,False,0.010416666666666666,fragannotor_formal_component_score
37,CASMI_MOL_1196826,True,0.8481607006920825,1,2001,True,True,True,1.0,fragannotor_formal_component_score
38,CASMI_MOL_1196827,True,0.8565683844855181,1,2001,True,True,True,1.0,fragannotor_formal_component_score
39,CASMI_MOL_1196829,True,0.8480503219468394,1,859,True,True,True,1.0,fragannotor_formal_component_score
40,CASMI_MOL_1196830,True,0.197306128135849,660,2001,False,False,False,0.0015151515151515152,fragannotor_formal_component_score
41,CASMI_MOL_1196831,True,0.1986418811076889,453,2001,False,False,False,0.002207505518763797,fragannotor_formal_component_score
42,CASMI_MOL_1196832,True,0.8538953703468595,1,2001,True,True,True,1.0,fragannotor_formal_component_score
43,CASMI_MOL_1196833,True,0.8495775365619969,1,2001,True,True,True,1.0,fragannotor_formal_component_score
44,CASMI_MOL_1196835,True,0.1939262403086576,954,1509,False,False,False,0.0010482180293501049,fragannotor_formal_component_score
45,CASMI_MOL_1196836,True,0.8692101453149493,1,2001,True,True,True,1.0,fragannotor_formal_component_score
46,CASMI_MOL_1196837,True,0.8677295964984875,1,960,True,True,True,1.0,fragannotor_formal_component_score
47,CASMI_MOL_1196838,True,0.5352460690710541,478,1798,False,False,False,0.0020920502092050207,fragannotor_formal_component_score
48,CASMI_MOL_1196839,True,0.84836784197011,1,2001,True,True,True,1.0,fragannotor_formal_component_score
