dataset,spectrum_id,query_id,model,candidate_id,candidate_smiles,candidate_inchikey,candidate_formula,rank,score,true_inchikey,true_smiles,true_formula,is_correct,score_source,native_or_fallback,tool_version,command,error_message
PFAS,LS05bfa8260f03,LS05bfa8260f03,FragAnnotor,LSa1dd7afbe251,Cc1c(Nc2ncccc2C(=O)O)cccc1C(F)(F)F,NOOCSNJCXJYGPE-UHFFFAOYSA-N,C14H11F3N2O2,1,0.26050044164453906,CWKFPEBMTGKLKX-UHFFFAOYSA-N,O=C(Nc1ccc(F)cc1)c1cccc(Oc2cccc(C(F)(F)F)c2)n1,C19H12F4N2O2,False,our_spectrum_score+cfmid_spectrum_score+fragment_formula_score,precomputed_external_real_scores,FragAnnotor frozen no-SIRIUS weights,,
PFAS,LS05bfa8260f03,LS05bfa8260f03,FragAnnotor,LS05bfa8260f03,O=C(Nc1ccc(F)cc1)c1cccc(Oc2cccc(C(F)(F)F)c2)n1,CWKFPEBMTGKLKX-UHFFFAOYSA-N,C19H12F4N2O2,2,0.22357163809182626,CWKFPEBMTGKLKX-UHFFFAOYSA-N,O=C(Nc1ccc(F)cc1)c1cccc(Oc2cccc(C(F)(F)F)c2)n1,C19H12F4N2O2,True,our_spectrum_score+cfmid_spectrum_score+fragment_formula_score,precomputed_external_real_scores,FragAnnotor frozen no-SIRIUS weights,,
PFAS,LS05bfa8260f03,LS05bfa8260f03,FragAnnotor,LSc73434a7aaeb,COC(=O)c1ccccc1S(=O)(=O)NC(=O)Nc1nc(OC(F)F)cc(OC(F)F)n1,ZTYVMAQSHCZXLF-UHFFFAOYSA-N,C15H12F4N4O7S,3,0.19421853235169534,CWKFPEBMTGKLKX-UHFFFAOYSA-N,O=C(Nc1ccc(F)cc1)c1cccc(Oc2cccc(C(F)(F)F)c2)n1,C19H12F4N2O2,False,our_spectrum_score+cfmid_spectrum_score+fragment_formula_score,precomputed_external_real_scores,FragAnnotor frozen no-SIRIUS weights,,
PFAS,LS05bfa8260f03,LS05bfa8260f03,FragAnnotor,LS10589d9b07fa,COc1cc(OC)nc(NC(=O)NS(=O)(=O)c2ncccc2C(F)(F)F)n1,HWATZEJQIXKWQS-UHFFFAOYSA-N,C13H12F3N5O5S,4,0.18867947932070367,CWKFPEBMTGKLKX-UHFFFAOYSA-N,O=C(Nc1ccc(F)cc1)c1cccc(Oc2cccc(C(F)(F)F)c2)n1,C19H12F4N2O2,False,our_spectrum_score+cfmid_spectrum_score+fragment_formula_score,precomputed_external_real_scores,FragAnnotor frozen no-SIRIUS weights,,
PFAS,LS05bfa8260f03,LS05bfa8260f03,FragAnnotor,LS743e3e2683cd,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,RTHCYVBBDHJXIQ-UHFFFAOYSA-N,C17H18F3NO,5,0.1838920165239355,CWKFPEBMTGKLKX-UHFFFAOYSA-N,O=C(Nc1ccc(F)cc1)c1cccc(Oc2cccc(C(F)(F)F)c2)n1,C19H12F4N2O2,False,our_spectrum_score+cfmid_spectrum_score+fragment_formula_score,precomputed_external_real_scores,FragAnnotor frozen no-SIRIUS weights,,
PFAS,LS05bfa8260f03,LS05bfa8260f03,FragAnnotor,LSfe86fa4ca2e0,O=C(O)c1ccccc1Nc1cccc(C(F)(F)F)c1,LPEPZBJOKDYZAD-UHFFFAOYSA-N,C14H10F3NO2,6,0.16833356457308477,CWKFPEBMTGKLKX-UHFFFAOYSA-N,O=C(Nc1ccc(F)cc1)c1cccc(Oc2cccc(C(F)(F)F)c2)n1,C19H12F4N2O2,False,our_spectrum_score+cfmid_spectrum_score+fragment_formula_score,precomputed_external_real_scores,FragAnnotor frozen no-SIRIUS weights,,
PFAS,LS05bfa8260f03,LS05bfa8260f03,FragAnnotor,LS2bf702df9866,CC(=O)Oc1cc(C(F)(F)F)ccc1C(=O)O,RMWVZGDJPAKBDE-UHFFFAOYSA-N,C10H7F3O4,7,0.16507910819379434,CWKFPEBMTGKLKX-UHFFFAOYSA-N,O=C(Nc1ccc(F)cc1)c1cccc(Oc2cccc(C(F)(F)F)c2)n1,C19H12F4N2O2,False,our_spectrum_score+cfmid_spectrum_score+fragment_formula_score,precomputed_external_real_scores,FragAnnotor frozen no-SIRIUS weights,,
PFAS,LS05bfa8260f03,LS05bfa8260f03,FragAnnotor,LS262178839702,O=C(Nc1ccc(F)cc1F)c1cccnc1Oc1cccc(C(F)(F)F)c1,WYEHFWKAOXOVJD-UHFFFAOYSA-N,C19H11F5N2O2,8,0.16085583951134508,CWKFPEBMTGKLKX-UHFFFAOYSA-N,O=C(Nc1ccc(F)cc1)c1cccc(Oc2cccc(C(F)(F)F)c2)n1,C19H12F4N2O2,False,our_spectrum_score+cfmid_spectrum_score+fragment_formula_score,precomputed_external_real_scores,FragAnnotor frozen no-SIRIUS weights,,
PFAS,LS05bfa8260f03,LS05bfa8260f03,FragAnnotor,LS1e72362b257c,CNC(=O)N(C)c1nnc(C(F)(F)F)s1,BBJPZPLAZVZTGR-UHFFFAOYSA-N,C6H7F3N4OS,9,0.14509911616974397,CWKFPEBMTGKLKX-UHFFFAOYSA-N,O=C(Nc1ccc(F)cc1)c1cccc(Oc2cccc(C(F)(F)F)c2)n1,C19H12F4N2O2,False,our_spectrum_score+cfmid_spectrum_score+fragment_formula_score,precomputed_external_real_scores,FragAnnotor frozen no-SIRIUS weights,,
PFAS,LS05bfa8260f03,LS05bfa8260f03,FragAnnotor,LS37a0497884c8,O=C(O)/C=C\C(=O)Nc1cccc(C(F)(F)F)c1,XHTHMZFBLNIKJC-PLNGDYQASA-N,C11H8F3NO3,10,0.1374176544302902,CWKFPEBMTGKLKX-UHFFFAOYSA-N,O=C(Nc1ccc(F)cc1)c1cccc(Oc2cccc(C(F)(F)F)c2)n1,C19H12F4N2O2,False,our_spectrum_score+cfmid_spectrum_score+fragment_formula_score,precomputed_external_real_scores,FragAnnotor frozen no-SIRIUS weights,,
