dataset,model,status,native_or_fallback,query_id,spectrum_id,true_candidate_id,adduct,candidate_count,observed_rows,true_rank,top1_correct,top5_correct,top10_correct,reciprocal_rank
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,0,0,CASMI_MOL_1196787,[M+H]+,1241,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,3,3,CASMI_MOL_1196790,[M+H]+,8524,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,4,4,CASMI_MOL_1196791,[M+H]+,7594,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,5,5,CASMI_MOL_1196792,[M+H]+,1074,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,6,6,CASMI_MOL_1196793,[M+H]+,1524,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,7,7,CASMI_MOL_1196794,[M+H]+,7016,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,9,9,CASMI_MOL_1196796,[M+H]+,8632,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,10,10,CASMI_MOL_1196797,[M+H]+,2797,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,11,11,CASMI_MOL_1196798,[M+H]+,6368,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,12,12,CASMI_MOL_1196799,[M+H]+,9462,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,15,15,CASMI_MOL_1196802,[M+H]+,4775,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,16,16,CASMI_MOL_1196803,[M+H]+,103,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,17,17,CASMI_MOL_1196804,[M+H]+,9564,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,18,18,CASMI_MOL_1196806,[M+H]+,6548,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,21,21,CASMI_MOL_1196809,[M+H]+,5615,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,22,22,CASMI_MOL_1196810,[M+H]+,6294,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,23,23,CASMI_MOL_1196811,[M+H]+,5745,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,24,24,CASMI_MOL_1196813,[M+H]+,5015,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,25,25,CASMI_MOL_1196814,[M+H]+,9778,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,26,26,CASMI_MOL_1196815,[M+H]+,8521,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,27,27,CASMI_MOL_1196816,[M+H]+,3327,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,29,29,CASMI_MOL_1196818,[M+H]+,8062,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,31,31,CASMI_MOL_1196820,[M+H]+,9668,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,34,34,CASMI_MOL_1196823,[M+H]+,457,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,35,35,CASMI_MOL_1196824,[M+H]+,233,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,37,37,CASMI_MOL_1196826,[M+H]+,8957,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,38,38,CASMI_MOL_1196827,[M+H]+,9532,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,39,39,CASMI_MOL_1196829,[M+H]+,859,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,40,40,CASMI_MOL_1196830,[M+H]+,7695,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,41,41,CASMI_MOL_1196831,[M+H]+,5158,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,42,42,CASMI_MOL_1196832,[M+H]+,9484,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,43,43,CASMI_MOL_1196833,[M+H]+,8937,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,46,46,CASMI_MOL_1196837,[M+H]+,960,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,48,48,CASMI_MOL_1196839,[M+H]+,9066,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,50,50,CASMI_MOL_1196841,[M+H]+,1506,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,51,51,CASMI_MOL_1196842,[M+H]+,558,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,53,53,CASMI_MOL_1196844,[M+H]+,1206,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,54,54,CASMI_MOL_1196845,[M+H]+,6814,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,55,55,CASMI_MOL_1196846,[M+H]+,9288,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,56,56,CASMI_MOL_1196828,[M+H]+,9532,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,58,58,CASMI_MOL_1196849,[M+H]+,2999,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,59,59,CASMI_MOL_1196850,[M+H]+,9219,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,60,60,CASMI_MOL_1196851,[M+H]+,7090,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,61,61,CASMI_MOL_1196853,[M+H]+,8027,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,64,64,CASMI_MOL_1196856,[M+H]+,817,0,,False,False,False,0.0
