dataset,model,status,native_or_fallback,query_id,spectrum_id,true_candidate_id,adduct,precursor_mz,candidate_pool_policy,candidate_count,candidate_spectra_count,missing_candidate_spectra,nan_score_count,true_rank,top1_correct,top5_correct,top10_correct,reciprocal_rank,elapsed_seconds
CASMI2022,CFM-ID + MS2DeepScore full-supported hybrid,completed,cfmid_generated_spectra_ms2deepscore_similarity_full_supported_hybrid,0,0,CASMI_MOL_1196787,[M+H]+,719.253866983956,full_supported_query_candidate_set,1241,1241,0,0,16.0,False,False,False,0.0625,49.386967420578
CASMI2022,CFM-ID + MS2DeepScore full-supported hybrid,completed,cfmid_generated_spectra_ms2deepscore_similarity_full_supported_hybrid,3,3,CASMI_MOL_1196790,[M+H]+,336.173416402974,full_supported_query_candidate_set,8524,8524,0,0,3.0,False,True,True,0.3333333333333333,295.77720737457275
CASMI2022,CFM-ID + MS2DeepScore full-supported hybrid,completed,cfmid_generated_spectra_ms2deepscore_similarity_full_supported_hybrid,4,4,CASMI_MOL_1196791,[M+H]+,472.208379934413,full_supported_query_candidate_set,7594,7594,0,0,45.0,False,False,False,0.0222222222222222,234.32754707336423
CASMI2022,CFM-ID + MS2DeepScore full-supported hybrid,completed,cfmid_generated_spectra_ms2deepscore_similarity_full_supported_hybrid,5,5,CASMI_MOL_1196792,[M+H]+,657.311672306106,full_supported_query_candidate_set,1074,1074,0,0,67.0,False,False,False,0.0149253731343283,31.877050638198853
CASMI2022,CFM-ID + MS2DeepScore full-supported hybrid,completed,cfmid_generated_spectra_ms2deepscore_similarity_full_supported_hybrid,6,6,CASMI_MOL_1196793,[M+H]+,519.33115928565,full_supported_query_candidate_set,1524,1524,0,0,602.0,False,False,False,0.0016611295681063,37.52039265632629
CASMI2022,CFM-ID + MS2DeepScore full-supported hybrid,completed,cfmid_generated_spectra_ms2deepscore_similarity_full_supported_hybrid,7,7,CASMI_MOL_1196794,[M+H]+,233.116974574285,full_supported_query_candidate_set,7016,7016,0,0,1972.0,False,False,False,0.0005070993914807,193.06035351753235
CASMI2022,CFM-ID + MS2DeepScore full-supported hybrid,completed,cfmid_generated_spectra_ms2deepscore_similarity_full_supported_hybrid,9,9,CASMI_MOL_1196796,[M+H]+,347.12743382156,full_supported_query_candidate_set,8632,8632,0,0,554.0,False,False,False,0.0018050541516245,227.5382664203644
CASMI2022,CFM-ID + MS2DeepScore full-supported hybrid,completed,cfmid_generated_spectra_ms2deepscore_similarity_full_supported_hybrid,10,10,CASMI_MOL_1196797,[M+H]+,454.07482453927,full_supported_query_candidate_set,2797,2797,0,0,2303.0,False,False,False,0.0004342162396873,63.54840898513794
CASMI2022,CFM-ID + MS2DeepScore full-supported hybrid,completed,cfmid_generated_spectra_ms2deepscore_similarity_full_supported_hybrid,11,11,CASMI_MOL_1196798,[M+H]+,489.226761835099,full_supported_query_candidate_set,6368,6368,0,0,4.0,False,True,True,0.25,152.893718957901
CASMI2022,CFM-ID + MS2DeepScore full-supported hybrid,completed,cfmid_generated_spectra_ms2deepscore_similarity_full_supported_hybrid,12,12,CASMI_MOL_1196799,[M+H]+,192.138122780028,full_supported_query_candidate_set,9462,9462,0,0,6277.0,False,False,False,0.00015931177314,220.40358638763428
CASMI2022,CFM-ID + MS2DeepScore full-supported hybrid,completed,cfmid_generated_spectra_ms2deepscore_similarity_full_supported_hybrid,15,15,CASMI_MOL_1196802,[M+H]+,505.221679905913,full_supported_query_candidate_set,4775,4775,0,0,141.0,False,False,False,0.0070921985815602,119.22743153572084
CASMI2022,CFM-ID + MS2DeepScore full-supported hybrid,completed,cfmid_generated_spectra_ms2deepscore_similarity_full_supported_hybrid,16,16,CASMI_MOL_1196803,[M+H]+,522.596526377514,full_supported_query_candidate_set,103,103,0,0,5.0,False,True,True,0.2,2.5585973262786865
CASMI2022,CFM-ID + MS2DeepScore full-supported hybrid,completed,cfmid_generated_spectra_ms2deepscore_similarity_full_supported_hybrid,17,17,CASMI_MOL_1196804,[M+H]+,251.163916083717,full_supported_query_candidate_set,9564,9564,0,0,4330.0,False,False,False,0.000230946882217,331.28870487213135
CASMI2022,CFM-ID + MS2DeepScore full-supported hybrid,completed,cfmid_generated_spectra_ms2deepscore_similarity_full_supported_hybrid,18,18,CASMI_MOL_1196806,[M+H]+,199.096388145119,full_supported_query_candidate_set,6548,6548,0,0,723.0,False,False,False,0.0013831258644536,219.82390713691711
CASMI2022,CFM-ID + MS2DeepScore full-supported hybrid,completed,cfmid_generated_spectra_ms2deepscore_similarity_full_supported_hybrid,21,21,CASMI_MOL_1196809,[M+H]+,419.096457918953,full_supported_query_candidate_set,5615,5615,0,0,70.0,False,False,False,0.0142857142857142,143.583163022995
