query_id,query_mol_id,adduct,precursor_mz,candidate_count,cfmid4_supported,primary_strategy,include_in_native_cfmid_supported_metric,convert_to_other_adduct,strategy_reason,future_options
1,1196788,[M+Na]+,467.272376926512,2036,False,report_as_unsupported_adduct_stratum,False,False,The local cfmid4 model directory has no [M+Na]+ model. Converting [M+Na]+ spectra to [M+H]+ would change ion/adduct fragmentation assumptions and is not a native CFM-ID evaluation.,"Add a validated [M+Na]+ CFM-ID model, run a separate sodium-adduct external model, or report [M+Na]+ as an unsupported CASMI stratum."
2,1196789,[M+Na]+,499.229625521457,6425,False,report_as_unsupported_adduct_stratum,False,False,The local cfmid4 model directory has no [M+Na]+ model. Converting [M+Na]+ spectra to [M+H]+ would change ion/adduct fragmentation assumptions and is not a native CFM-ID evaluation.,"Add a validated [M+Na]+ CFM-ID model, run a separate sodium-adduct external model, or report [M+Na]+ as an unsupported CASMI stratum."
8,1196795,[M+Na]+,555.276974904429,1910,False,report_as_unsupported_adduct_stratum,False,False,The local cfmid4 model directory has no [M+Na]+ model. Converting [M+Na]+ spectra to [M+H]+ would change ion/adduct fragmentation assumptions and is not a native CFM-ID evaluation.,"Add a validated [M+Na]+ CFM-ID model, run a separate sodium-adduct external model, or report [M+Na]+ as an unsupported CASMI stratum."
13,1196800,[M+Na]+,717.380089098989,548,False,report_as_unsupported_adduct_stratum,False,False,The local cfmid4 model directory has no [M+Na]+ model. Converting [M+Na]+ spectra to [M+H]+ would change ion/adduct fragmentation assumptions and is not a native CFM-ID evaluation.,"Add a validated [M+Na]+ CFM-ID model, run a separate sodium-adduct external model, or report [M+Na]+ as an unsupported CASMI stratum."
14,1196801,[M+Na]+,545.213786033657,4527,False,report_as_unsupported_adduct_stratum,False,False,The local cfmid4 model directory has no [M+Na]+ model. Converting [M+Na]+ spectra to [M+H]+ would change ion/adduct fragmentation assumptions and is not a native CFM-ID evaluation.,"Add a validated [M+Na]+ CFM-ID model, run a separate sodium-adduct external model, or report [M+Na]+ as an unsupported CASMI stratum."
19,1196807,[M+Na]+,217.083237930105,7946,False,report_as_unsupported_adduct_stratum,False,False,The local cfmid4 model directory has no [M+Na]+ model. Converting [M+Na]+ spectra to [M+H]+ would change ion/adduct fragmentation assumptions and is not a native CFM-ID evaluation.,"Add a validated [M+Na]+ CFM-ID model, run a separate sodium-adduct external model, or report [M+Na]+ as an unsupported CASMI stratum."
20,1196808,[M+Na]+,805.433242169646,405,False,report_as_unsupported_adduct_stratum,False,False,The local cfmid4 model directory has no [M+Na]+ model. Converting [M+Na]+ spectra to [M+H]+ would change ion/adduct fragmentation assumptions and is not a native CFM-ID evaluation.,"Add a validated [M+Na]+ CFM-ID model, run a separate sodium-adduct external model, or report [M+Na]+ as an unsupported CASMI stratum."
28,1196817,[M+Na]+,386.18316740815,9576,False,report_as_unsupported_adduct_stratum,False,False,The local cfmid4 model directory has no [M+Na]+ model. Converting [M+Na]+ spectra to [M+H]+ would change ion/adduct fragmentation assumptions and is not a native CFM-ID evaluation.,"Add a validated [M+Na]+ CFM-ID model, run a separate sodium-adduct external model, or report [M+Na]+ as an unsupported CASMI stratum."
30,1196819,[M+Na]+,313.162104668711,9460,False,report_as_unsupported_adduct_stratum,False,False,The local cfmid4 model directory has no [M+Na]+ model. Converting [M+Na]+ spectra to [M+H]+ would change ion/adduct fragmentation assumptions and is not a native CFM-ID evaluation.,"Add a validated [M+Na]+ CFM-ID model, run a separate sodium-adduct external model, or report [M+Na]+ as an unsupported CASMI stratum."
32,1196821,[M+Na]+,603.167435039183,2317,False,report_as_unsupported_adduct_stratum,False,False,The local cfmid4 model directory has no [M+Na]+ model. Converting [M+Na]+ spectra to [M+H]+ would change ion/adduct fragmentation assumptions and is not a native CFM-ID evaluation.,"Add a validated [M+Na]+ CFM-ID model, run a separate sodium-adduct external model, or report [M+Na]+ as an unsupported CASMI stratum."
33,1196822,[M+Na]+,336.10484867596,7753,False,report_as_unsupported_adduct_stratum,False,False,The local cfmid4 model directory has no [M+Na]+ model. Converting [M+Na]+ spectra to [M+H]+ would change ion/adduct fragmentation assumptions and is not a native CFM-ID evaluation.,"Add a validated [M+Na]+ CFM-ID model, run a separate sodium-adduct external model, or report [M+Na]+ as an unsupported CASMI stratum."
36,1196825,[M+Na]+,449.098083496094,6552,False,report_as_unsupported_adduct_stratum,False,False,The local cfmid4 model directory has no [M+Na]+ model. Converting [M+Na]+ spectra to [M+H]+ would change ion/adduct fragmentation assumptions and is not a native CFM-ID evaluation.,"Add a validated [M+Na]+ CFM-ID model, run a separate sodium-adduct external model, or report [M+Na]+ as an unsupported CASMI stratum."
44,1196835,[M+Na]+,741.32297090863,1509,False,report_as_unsupported_adduct_stratum,False,False,The local cfmid4 model directory has no [M+Na]+ model. Converting [M+Na]+ spectra to [M+H]+ would change ion/adduct fragmentation assumptions and is not a native CFM-ID evaluation.,"Add a validated [M+Na]+ CFM-ID model, run a separate sodium-adduct external model, or report [M+Na]+ as an unsupported CASMI stratum."
45,1196836,[M+Na]+,325.234513056476,2229,False,report_as_unsupported_adduct_stratum,False,False,The local cfmid4 model directory has no [M+Na]+ model. Converting [M+Na]+ spectra to [M+H]+ would change ion/adduct fragmentation assumptions and is not a native CFM-ID evaluation.,"Add a validated [M+Na]+ CFM-ID model, run a separate sodium-adduct external model, or report [M+Na]+ as an unsupported CASMI stratum."
47,1196838,[M+Na]+,524.280733835452,1798,False,report_as_unsupported_adduct_stratum,False,False,The local cfmid4 model directory has no [M+Na]+ model. Converting [M+Na]+ spectra to [M+H]+ would change ion/adduct fragmentation assumptions and is not a native CFM-ID evaluation.,"Add a validated [M+Na]+ CFM-ID model, run a separate sodium-adduct external model, or report [M+Na]+ as an unsupported CASMI stratum."
49,1196840,[M+Na]+,657.396600966236,729,False,report_as_unsupported_adduct_stratum,False,False,The local cfmid4 model directory has no [M+Na]+ model. Converting [M+Na]+ spectra to [M+H]+ would change ion/adduct fragmentation assumptions and is not a native CFM-ID evaluation.,"Add a validated [M+Na]+ CFM-ID model, run a separate sodium-adduct external model, or report [M+Na]+ as an unsupported CASMI stratum."
52,1196843,[M+Na]+,501.136066103961,6541,False,report_as_unsupported_adduct_stratum,False,False,The local cfmid4 model directory has no [M+Na]+ model. Converting [M+Na]+ spectra to [M+H]+ would change ion/adduct fragmentation assumptions and is not a native CFM-ID evaluation.,"Add a validated [M+Na]+ CFM-ID model, run a separate sodium-adduct external model, or report [M+Na]+ as an unsupported CASMI stratum."
57,1196848,[M+Na]+,353.204153669958,3978,False,report_as_unsupported_adduct_stratum,False,False,The local cfmid4 model directory has no [M+Na]+ model. Converting [M+Na]+ spectra to [M+H]+ would change ion/adduct fragmentation assumptions and is not a native CFM-ID evaluation.,"Add a validated [M+Na]+ CFM-ID model, run a separate sodium-adduct external model, or report [M+Na]+ as an unsupported CASMI stratum."
62,1196854,[M+Na]+,603.204086075698,3029,False,report_as_unsupported_adduct_stratum,False,False,The local cfmid4 model directory has no [M+Na]+ model. Converting [M+Na]+ spectra to [M+H]+ would change ion/adduct fragmentation assumptions and is not a native CFM-ID evaluation.,"Add a validated [M+Na]+ CFM-ID model, run a separate sodium-adduct external model, or report [M+Na]+ as an unsupported CASMI stratum."
