manuscript_section,task,dataset,model_or_variant,expected_queries,completed_queries,result_status,output_paths,latest_commit,blocker,required_next_action,can_be_used_in_main_text,claim_guardrail
Stage 0,Repository and result-state audit,FragAnnotor repo,all current artifacts,n/a,n/a,completed,outputs/manuscript_completion_v1/status_matrix.csv;outputs/manuscript_completion_v1/status_report.md,65f3d562ccc7b699a2f050df7f93b85bbf330b83,,Use this audit as starting point for Stage 1 freeze.,yes,Audit records current files only; it does not validate manuscript claims by itself.
Stage 1,Freeze final FragAnnotator definition,CASMI2022,fixed evidence fusion,1,1,completed_frozen_config,configs/fragannotator_manuscript_final.yaml;docs/FRAGANNOTATOR_FINAL_MODEL_DEFINITION.md;outputs/manuscript_completion_v1/final_config_audit.json,65f3d562ccc7b699a2f050df7f93b85bbf330b83,,Use frozen config to regenerate Section 3.1 manuscript package before any model comparison claims.,yes,Main method is fixed evidence-fusion; trained neural checkpoint remains audit/negative-control unless strict matched evidence proves superiority.
3.1,CASMI2022 FragAnnotor-only performance,CASMI2022,fixed component-score evidence fusion,229,229,manuscript_ready_package_completed,results/manuscript_3_1_casmi_overall/summary.csv;results/manuscript_3_1_casmi_overall/query_results.csv;results/manuscript_3_1_casmi_overall/bootstrap_ci.csv;results/manuscript_3_1_casmi_overall/stratified_results.csv;results/manuscript_3_1_casmi_overall/report.md;results/manuscript_3_1_casmi_overall/figures/figure_3_1_overall_topk_mrr.png;results/manuscript_3_1_casmi_overall/figures/figure_3_1_true_rank_distribution.png;results/manuscript_3_1_casmi_overall/figures/figure_3_1_candidate_set_size.png;results/manuscript_3_1_casmi_overall/figures/figure_3_1_similarity_difficulty.png,65f3d562ccc7b699a2f050df7f93b85bbf330b83,,Proceed to Stage 3.2 matched 170-query manifest and matched FragAnnotator/SIRIUS recalculation.,yes,Section 3.1 reports FragAnnotator only; external baselines belong only in Section 3.2 matched comparison.
3.1 audit,Old trained neural checkpoint,CASMI2022,trained neural checkpoint,229,229,negative_or_audit_result,results/casmi2022_fragannotor_trained_neural_v1/casmi2022_fragannotor_trained_neural_summary.csv,65f3d562ccc7b699a2f050df7f93b85bbf330b83,,Keep as audit/negative result unless strict rerun proves superiority.,no,Do not claim trained neural FragAnnotator outperforms SOTA from this checkpoint.
3.2,Native CFM-ID supported benchmark,CASMI2022 matched [M+H]+,native CFM-ID,170,170,completed,results/casmi2022_cfmid_native_full_supported_v1/casmi2022_cfmid_native_full_supported_query_results.csv;results/casmi_full_completion_audit_v1/full_completion_status.csv,65f3d562ccc7b699a2f050df7f93b85bbf330b83,,Refresh query summary from completion gate evidence: completion gate reports completed_full_supported.,yes_after_matched_manifest,Use only 170 supported queries; do not mix with 229-query metrics.
3.2,CFM-ID spectra plus MS2DeepScore hybrid,CASMI2022 matched [M+H]+,CFM-ID-generated spectra + MS2DeepScore similarity hybrid,170,170,completed,results/casmi2022_cfmid_ms2deepscore_full_supported_hybrid_v1/casmi2022_cfmid_ms2deepscore_full_supported_hybrid_query_results.csv,65f3d562ccc7b699a2f050df7f93b85bbf330b83,,Recompute/confirm summary on matched manifest before main table.,yes_after_matched_manifest,Never call this a native MS2DeepScore benchmark.
3.2,MassFormer harmonized rerun,CASMI2022 matched [M+H]+,MassFormer,170,102,running_or_partial,results/harmonized_sota_candidate_reruns_v1/massformer,65f3d562ccc7b699a2f050df7f93b85bbf330b83,710 candidate prediction failures recorded so far,Continue resumable shards to 170/170 or document irrecoverable failures.,no_partial_main_table,Partial MassFormer metrics cannot enter the main comparison table.
3.2,ICEBERG harmonized rerun,CASMI2022 matched [M+H]+,ICEBERG,170,40,partial,results/harmonized_sota_candidate_reruns_v1/iceberg,65f3d562ccc7b699a2f050df7f93b85bbf330b83,59 candidate prediction failures recorded so far,Continue CPU shards to 170/170 or document irrecoverable failures.,no_partial_main_table,Partial ICEBERG metrics cannot enter the main comparison table.
3.2,NEIMS readiness,CASMI2022 matched [M+H]+,NEIMS,170,0,blocked_or_unavailable,,65f3d562ccc7b699a2f050df7f93b85bbf330b83,no validated checkpoint/wrapper confirmed,Create NEIMS_UNAVAILABLE_AUDIT.md unless checkpoint and wrapper are validated.,no,Do not fabricate NEIMS results or include placeholders in the main table.
3.3,CASMI component ablation,CASMI2022,formal components,229,0,missing_required_casmi_ablation,results/ablation/fragannotor_ablation_summary.csv,65f3d562ccc7b699a2f050df7f93b85bbf330b83,existing ablation appears not to be the required CASMI manuscript package,Run CASMI ablation and sensitivity using frozen config.,no,PFAS ablation cannot substitute for CASMI2022 main-task ablation.
